CAS,haz,SMILES
109-77-3,1,C(C#N)C#N
2757-18-8,1,C(C(=O)[O-])C(=O)[O-].[Tl+].[Tl+]
463-49-0,1,C=C=C
1663-67-8,1,C(C(=O)Cl)C(=O)Cl
141-57-1,1,CCC[Si](Cl)(Cl)Cl
107-34-6,1,CCC[As](=O)(O)O
107-12-0,1,CCC#N
123-38-6,1,CCC=O
59355-75-8,1,CC#C.C=C=C
471-25-0,1,C#CC(=O)O
123-62-6,1,CCC(=O)OC(=O)CC
554-12-1,1,CCC(=O)OC
2408-20-0,1,CCC(=O)OCC=C
105-37-3,1,CCC(=O)OCC
637-78-5,1,CCC(=O)OC(C)C
540-42-1,1,CCC(=O)OCC(C)C
105-68-0,1,CCC(=O)OCCC(C)C
590-01-2,1,CCCCOC(=O)CC
624-54-4,1,CCCCCOC(=O)CC
591-34-4,1,CCC(C)OC(=O)CC
67-64-1,1,CC(=O)C
75-86-5,1,CC(C)(C#N)O
74-98-6,1,CCC
115-07-1,1,CC=C
107-18-6,1,C=CCO
870-23-5,1,C=CCS
107-13-1,1,C=CC#N
107-02-8,1,C=CC=O
96-33-3,1,COC(=O)C=C
2918-23-2,1,CC(CO)OC(=O)C=C
1663-39-4,1,CC(C)(C)OC(=O)C=C
140-88-5,1,CCOC(=O)C=C
106-63-8,1,CC(C)COC(=O)C=C
29590-42-9,1,CC(C)CCCCCOC(=O)C=C
141-32-2,1,CCCCOC(=O)C=C
75-55-8,1,CC1CN1
24631-29-6,1,CN(C)C1=CC=C(C=C1)N.C(=O)(C(=O)O)O
3444-13-1,1,C(=O)(C(=O)[O-])[O-].[Hg+2]
12034-12-7,1,O=O.[Na+]
13477-10-6,1,[O-]Cl.[O-]Cl.[Ba+2]
7778-66-7,1,[O-]Cl.[K+]
13840-33-0,1,[Li+].[O-]Cl
7681-52-9,1,[O-]Cl.[Na+]
56-36-0,1,CCCC[Sn](CCCC)(CCCC)OC(=O)C
12427-38-2,1,C(CNC(=S)[S-])NC(=S)[S-].[Mn+2]
1931-62-0,1,CC(C)(C)OOC(=O)/C=C\C(=O)O
7727-37-9,1,N#N
26134-62-3,1,[Li+].[Li+].[Li+].[NH2-]
12057-71-5,1,CCCC(=O)C=C(CCC(C)(C)C)O.CCC(C)CCC(=O)C=C(C(C)C)O.CCC(C)CC(=O)C=C(C(C)CC)O.CCC(C)C(=CC(=O)CC)O.CC(C)C(C)C(=O)C=C(C(C)C)O.[Ir].[Ir].[Ir].[Ir].[Ir]
260-94-6,1,C1=CC=C2C(=C1)C=C3C=CC=CC3=N2
7782-39-0,1,[2H][2H]
20830-75-5,1,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
1306-25-8,1,[Cd]=[Te]
556-56-9,1,C=CCI
513-38-2,1,CC(C)CI
558-17-8,1,CC(C)(C)I
541-28-6,1,CC(C)CCI
540-38-5,1,C1=CC(=CC=C1O)I
107-08-4,1,CCCI
75-30-9,1,CC(C)I
542-69-8,1,CCCCI
513-48-4,1,CCC(C)I
7783-33-7,1,[K+].[K+].I[Hg-2](I)(I)I
10034-85-2,1,I
7790-30-9,1,I[Tl]
507-02-8,1,CC(=O)I
74-88-4,1,CI
7782-68-5,1,OI(=O)=O
13446-09-8,1,[NH4+].[O-]I(=O)=O
10567-69-8,1,[O-]I(=O)=O.[O-]I(=O)=O.[Ba+2]
7789-80-2,1,[O-]I(=O)=O.[O-]I(=O)=O.[Ca+2]
7790-81-0,1,[O-]I(=O)=O.[O-]I(=O)=O.[Cd+2]
13455-24-8,1,OI(=O)=O.[O-]I(=O)=O.[K+]
13765-03-2,1,[Li+].[O-]I(=O)=O
7681-55-2,1,[O-]I(=O)=O.[Na+]
25659-31-8,1,[O-]I(=O)=O.[O-]I(=O)=O.[Pb+2]
13470-01-4,1,[O-]I(=O)=O.[O-]I(=O)=O.[Sr+2]
7790-37-6,1,[O-]I(=O)=O.[O-]I(=O)=O.[Zn+2]
7783-97-3,1,[O-]I(=O)=O.[Ag+]
628-17-1,1,CCCCCI
64-69-7,1,C(C(=O)O)I
623-48-3,1,CCOC(=O)CI
18810-58-7,1,[N-]=[N+]=[N-].[N-]=[N+]=[N-].[Ba+2]
13424-46-9,1,[N-]=[N+]=[N-].[N-]=[N+]=[N-].[Pb+2]
78-92-2,1,CCC(C)O
2372-45-4,1,CCCC[O-].[Na+]
110-60-1,1,C(CCN)CN
110-61-2,1,C(CC#N)C#N
106-99-0,1,C=CC=C
543-20-4,1,C(CC(=O)Cl)C(=O)Cl
12788-93-1,1,CCCCO.OP(=O)(O)O
513-53-1,1,CCC(C)S
7521-80-4,1,CCCC[Si](Cl)(Cl)Cl
110-69-0,1,CCCC=NO
107-00-6,1,CCC#C
503-17-3,1,CC#CC
